,label,total,acc@1,acc@2,acc@3,acc@4,acc@5
0,1_13_22_36_50,353,99,143,167,174,185
1,14_24_29_37_7,353,110,151,173,181,190
2,15_17_21_40_5,353,105,144,162,174,189
3,15_24_29_44_50,353,96,140,156,167,179
4,1_12_24_28_34,353,103,147,157,170,179
5,14_30_36_40_41,353,102,150,165,173,184
6,22_29_33_39_9,353,107,147,165,177,188
7,29_34_37_46_9,353,100,145,169,178,188
8,14_27_28_4_45,353,105,142,161,167,180
9,1_15_33_45_47,353,97,151,171,178,188
10,16_25_26_3_7,353,97,145,161,170,179
11,22_33_35_39_43,353,110,142,163,172,188
12,23_3_32_43_47,353,101,138,167,175,183
13,16_19_34_45_47,353,94,146,160,167,178
14,2_25_32_36_8,353,107,147,163,171,180
15,15_21_4_5_8,353,112,151,166,177,186
16,12_22_23_28_38,353,104,146,163,176,186
17,13_22_36_38_43,353,100,141,163,177,187
18,16_28_43_47_50,353,108,146,160,173,183
19,17_23_45_46_50,353,88,133,151,167,179
20,16_24_26_44_5,353,99,145,160,175,184
21,10_20_29_49_5,353,102,145,160,170,183
22,3_36_4_43_44,353,104,147,164,171,180
23,13_16_31_4_50,353,95,140,157,170,181
24,1_34_45_7_8,353,105,148,167,176,183
25,1_23_37_38_7,353,105,158,173,186,196
26,10_13_24_44_49,353,93,142,157,168,180
27,10_22_24_37_46,353,100,139,164,174,186
28,1_15_39_46_48,353,107,152,176,188,197
29,11_17_2_46_47,353,102,142,162,170,175
30,13_16_23_49_6,353,94,138,159,171,180
31,27_44_49_7_9,353,100,149,161,172,182
32,21_26_31_32_47,353,97,143,161,169,183
33,12_15_17_39_6,353,97,145,163,173,181
34,16_21_22_39_41,353,113,153,167,176,184
35,16_18_40_44_47,353,100,150,169,174,182
36,12_21_29_4_9,353,111,154,166,177,188
37,1_25_33_4_44,353,97,147,165,176,186
38,26_33_35_37_47,353,100,141,160,173,184
39,26_3_4_43_5,353,105,147,164,174,186
40,1_15_26_39_4,353,108,155,176,187,197
41,12_25_4_47_48,353,105,148,168,177,185
42,13_37_42_47_8,353,102,143,166,177,187
43,14_29_35_44_50,353,101,147,161,167,178
44,24_34_39_40_50,353,95,145,165,172,180
45,18_22_3_47_48,353,114,145,172,181,186
46,17_32_4_49_8,353,105,150,167,180,187
47,14_18_28_32_8,353,112,150,163,173,182
48,17_19_30_31_7,353,94,150,162,174,184
49,18_26_28_3_32,353,102,140,159,173,183
