,label,total,acc@1,acc@2,acc@3,acc@4,acc@5
0,1_13_17_19_2_26_30_32_33_34_35_40_46_47_8,353,109,162,181,195,203
1,10_13_16_19_3_34_35_37_39_41_42_44_46_50_8,353,111,167,185,199,209
2,10_17_19_20_24_25_28_32_38_39_4_44_5_8_9,353,115,163,183,197,210
3,11_14_15_17_26_28_30_33_35_37_44_46_47_5_7,353,117,163,182,190,196
4,11_13_15_17_18_2_22_24_30_38_40_42_45_46_47,353,108,162,185,191,203
5,1_15_17_19_28_3_31_33_41_42_43_46_47_5_9,353,110,163,177,191,200
6,1_12_15_2_23_26_31_32_35_36_37_44_46_48_7,353,102,168,189,201,207
7,12_13_19_2_20_24_26_27_29_3_32_33_38_40_6,353,113,161,176,195,208
8,16_20_25_28_3_30_32_35_38_39_4_43_46_48_8,353,122,170,186,195,205
9,13_15_18_19_20_21_23_30_34_35_36_47_48_49_6,353,115,170,184,199,206
10,13_16_22_23_26_28_29_3_34_35_39_4_45_47_50,353,110,163,186,198,205
11,1_19_2_21_23_26_27_30_35_4_41_43_46_5_6,353,109,163,182,193,200
12,1_14_18_2_32_35_36_37_39_4_43_45_46_48_6,353,113,169,186,194,206
13,10_11_12_14_21_25_29_30_34_40_42_44_45_49_9,353,108,166,185,195,204
14,10_11_12_13_20_28_29_4_44_45_47_5_6_7_8,353,115,165,182,191,200
15,11_14_16_17_18_21_22_24_25_27_28_4_47_48_49,353,118,163,179,192,197
16,1_17_19_2_22_23_26_27_30_37_41_48_49_50_8,353,116,162,184,199,207
17,10_14_19_21_22_27_30_32_33_35_37_40_43_46_6,353,115,165,184,194,206
18,15_19_2_22_24_29_31_33_38_39_43_44_49_8_9,353,114,164,188,199,209
19,12_14_16_20_22_23_24_26_29_30_38_40_44_6_8,353,109,161,182,198,205
20,10_11_12_19_23_25_27_28_36_39_42_47_48_50_8,353,107,162,177,189,201
21,10_11_14_15_2_27_3_30_36_37_41_44_49_5_50,353,110,161,179,189,198
22,1_11_13_14_20_21_22_34_39_40_46_47_49_6_9,353,115,169,187,194,205
23,11_15_17_18_20_26_31_37_41_43_44_47_48_49_7,353,109,168,187,197,203
24,10_12_13_16_26_3_32_34_36_4_41_43_48_50_6,353,113,167,183,196,203
25,15_16_20_21_24_25_28_32_36_39_42_46_47_5_8,353,114,165,185,194,202
26,1_10_17_22_23_24_27_33_35_36_4_45_46_6_7,353,106,162,173,188,196
27,1_12_16_19_20_22_26_32_35_37_38_4_41_43_44,353,107,159,185,196,209
28,13_17_19_23_24_28_29_3_33_36_37_46_5_50_9,353,111,164,177,191,204
29,1_16_17_20_22_24_32_35_36_37_4_43_45_48_5,353,111,165,180,196,203
30,20_29_33_34_35_38_39_40_41_49_5_50_6_7_9,353,114,168,186,197,205
31,10_17_22_24_25_32_33_35_38_4_41_42_43_8_9,353,115,161,184,194,203
32,11_17_20_21_30_31_33_35_36_38_43_46_50_7_9,353,114,164,184,193,203
33,12_14_15_22_34_36_37_39_44_45_49_5_6_8_9,353,108,163,179,193,202
34,12_14_19_2_24_31_32_35_38_42_46_49_5_6_9,353,108,158,172,188,201
35,12_14_20_24_26_31_36_37_38_39_44_46_48_49_5,353,110,169,186,193,204
36,10_11_12_13_14_20_26_28_3_36_40_45_50_6_9,353,115,163,178,191,204
37,12_15_17_18_25_26_28_29_34_41_46_47_50_7_9,353,106,165,178,189,198
38,10_13_2_20_26_31_32_36_38_39_44_45_46_48_50,353,114,171,192,199,208
39,10_16_17_18_2_21_23_30_31_35_36_4_41_45_8,353,110,166,182,197,206
40,10_14_15_2_23_28_30_33_35_37_42_47_48_50_7,353,115,165,182,197,206
41,1_15_2_21_22_24_27_31_35_38_41_43_47_49_5,353,107,165,183,192,200
42,12_13_15_22_24_25_28_29_30_33_35_36_37_44_48,353,116,169,186,202,209
43,12_13_16_18_2_27_29_35_4_41_43_45_46_47_7,353,107,164,186,192,200
44,1_10_13_17_2_22_30_32_34_36_45_46_49_50_7,353,108,165,179,194,205
45,16_18_19_2_22_24_27_28_33_40_46_48_50_6_7,353,113,162,179,192,200
46,10_11_12_13_14_2_26_29_36_39_41_46_5_6_8,353,113,163,180,194,201
47,10_11_2_21_23_24_27_28_34_36_38_40_43_46_50,353,106,165,180,191,201
48,11_12_14_15_2_21_22_23_24_31_35_40_43_46_6,353,107,163,178,189,200
49,1_13_18_19_24_25_32_34_36_37_38_39_42_50_6,353,109,162,184,197,206
