,label,total,acc@1,acc@2,acc@3,acc@4,acc@5
0,32_6_8,353,99,132,150,161,167
1,10_11_45,353,96,133,154,163,171
2,28_3_37,353,103,137,152,162,176
3,17_18_8,353,92,136,157,171,177
4,10_33_6,353,91,133,149,158,168
5,29_41_5,353,99,138,154,161,168
6,16_17_35,353,97,133,152,166,173
7,12_15_17,353,85,133,150,159,168
8,39_45_6,353,90,128,153,160,169
9,11_37_39,353,96,135,155,165,176
10,3_38_4,353,106,145,164,166,178
11,36_39_43,353,96,136,154,166,180
12,26_4_44,353,93,134,156,160,173
13,13_24_34,353,89,128,150,159,165
14,2_31_7,353,93,136,151,158,170
15,24_25_37,353,96,133,151,163,176
16,11_49_5,353,86,130,147,156,168
17,21_41_9,353,93,136,159,169,177
18,16_26_43,353,97,138,155,168,175
19,23_3_44,353,90,131,150,154,168
20,23_31_6,353,86,128,144,157,166
21,1_24_9,353,93,142,160,171,180
22,3_5_50,353,87,131,144,155,164
23,18_4_7,353,96,137,157,170,179
24,30_45_49,353,96,138,158,162,173
25,10_48_6,353,103,136,161,169,175
26,22_24_27,353,91,132,145,160,169
27,20_27_31,353,96,138,146,154,166
28,11_18_45,353,91,136,153,162,170
29,3_36_44,353,90,137,153,158,167
30,1_41_49,353,87,142,155,164,172
31,39_41_48,353,107,147,165,176,181
32,10_19_25,353,97,126,143,154,165
33,14_18_24,353,94,134,151,165,174
34,17_27_42,353,89,125,147,162,168
35,1_22_47,353,91,135,151,165,174
36,11_39_49,353,94,132,151,161,169
37,14_39_8,353,100,140,157,166,174
38,24_35_46,353,96,132,146,162,170
39,1_3_35,353,96,140,164,173,182
40,19_31_35,353,82,127,142,154,166
41,21_41_49,353,96,142,158,162,171
42,18_19_31,353,80,126,149,161,171
43,45_46_5,353,86,125,147,157,166
44,29_46_47,353,95,133,151,161,167
45,13_24_30,353,88,128,153,163,173
46,39_44_9,353,100,140,160,167,178
47,17_18_43,353,92,131,158,169,177
48,16_25_6,353,94,131,145,162,170
49,24_3_50,353,93,129,149,159,168
