,label,total,acc@1,acc@2,acc@3,acc@4,acc@5
0,11_14_17_22_26_29_37_38_41_49,353,112,158,180,188,201
1,23_29_30_36_37_38_46_49_5_8,353,107,159,175,186,200
2,23_26_28_34_36_37_38_41_49_7,353,110,157,173,188,199
3,1_13_25_27_35_40_44_47_49_5,353,100,157,173,185,193
4,15_23_3_34_40_45_6_7_8_9,353,103,153,178,185,195
5,12_13_19_21_27_3_36_42_47_48,353,110,160,176,185,195
6,13_16_28_30_33_39_41_43_44_50,353,111,159,178,184,196
7,10_15_20_35_36_37_41_46_5_8,353,108,156,177,189,201
8,14_18_22_3_36_37_40_47_8_9,353,119,157,179,188,199
9,14_17_18_22_34_36_39_4_45_8,353,106,154,174,189,200
10,10_13_19_23_26_32_33_35_43_47,353,107,153,173,182,194
11,18_19_25_33_36_39_42_49_7_9,353,109,156,173,187,193
12,11_13_23_25_29_43_44_49_5_50,353,100,155,173,182,194
13,15_20_26_31_33_40_42_44_46_48,353,106,164,176,186,194
14,12_15_25_26_27_36_38_41_48_7,353,106,165,174,187,196
15,1_13_17_23_27_32_42_43_6_9,353,107,153,177,190,197
16,1_2_23_25_29_32_40_42_44_49,353,100,157,180,189,195
17,11_12_13_15_23_28_3_34_43_44,353,112,150,174,184,194
18,11_2_20_36_38_42_43_44_48_8,353,112,168,180,192,198
19,10_19_21_23_26_27_36_37_4_47,353,112,155,177,188,196
20,16_18_24_25_26_35_37_42_47_6,353,108,152,171,182,195
21,10_12_14_17_25_3_30_33_47_7,353,112,160,171,181,193
22,10_17_18_26_33_37_38_4_43_45,353,111,155,180,193,203
23,27_33_36_37_39_40_43_44_47_49,353,105,157,176,188,195
24,14_15_18_25_31_38_45_5_6_7,353,101,153,169,182,192
25,11_19_29_32_33_35_39_40_41_43,353,113,160,178,190,199
26,17_21_24_28_29_35_38_42_50_9,353,112,165,178,191,200
27,13_23_24_27_30_31_44_47_6_9,353,105,155,175,190,196
28,1_12_21_22_24_27_3_36_45_5,353,104,159,169,185,195
29,15_16_23_28_29_32_33_45_47_6,353,110,153,177,187,199
30,14_19_26_3_32_33_35_36_47_8,353,113,155,172,185,194
31,11_23_26_29_32_36_42_49_50_7,353,102,154,169,179,194
32,12_14_22_28_30_34_35_4_43_9,353,110,155,173,187,194
33,1_13_15_18_23_3_30_41_43_47,353,115,156,182,190,200
34,1_18_20_27_29_3_32_38_48_6,353,115,167,188,199,208
35,12_2_23_24_25_26_29_30_31_34,353,101,153,175,189,195
36,11_16_26_32_36_45_46_5_50_9,353,103,146,167,178,191
37,10_11_15_2_24_27_33_4_49_7,353,108,162,182,190,196
38,23_29_33_38_4_42_45_46_47_48,353,107,158,183,193,199
39,10_14_15_17_25_30_33_46_47_5,353,107,148,165,176,190
40,11_18_27_30_31_33_34_35_42_43,353,104,151,170,180,193
41,17_20_28_32_33_34_4_43_45_8,353,111,161,175,188,199
42,13_15_16_17_21_22_28_29_49_6,353,111,156,173,187,199
43,20_23_25_27_28_3_32_39_41_48,353,118,161,177,189,193
44,12_22_23_26_28_32_36_4_48_7,353,112,157,174,185,193
45,11_15_23_25_26_27_28_32_35_47,353,110,158,173,182,193
46,12_19_2_23_25_26_28_31_37_39,353,108,153,169,183,195
47,14_18_28_34_39_4_41_42_44_5,353,109,156,172,186,194
48,12_13_23_25_38_42_43_48_5_8,353,105,155,172,185,198
49,12_21_29_31_35_44_45_5_50_6,353,111,156,173,184,193
