,label,total,acc@1,acc@2,acc@3,acc@4,acc@5
0,12_15_17_2_23_24_27_28_3_31_33_35_37_43_44_45_47_5_8_9,353,119,168,188,196,204
1,13_16_17_19_2_20_22_24_25_27_31_32_33_35_36_41_49_50_6_8,353,110,163,181,193,201
2,1_10_15_18_20_21_22_24_30_31_33_35_37_38_47_49_5_50_6_9,353,117,168,188,199,209
3,1_11_13_15_23_26_27_29_31_32_33_36_37_39_4_42_43_46_47_49,353,106,169,188,198,210
4,1_11_12_13_16_20_21_22_23_28_30_32_33_41_43_44_5_6_7_9,353,111,163,186,199,208
5,1_14_17_21_23_24_26_27_28_31_32_34_36_38_39_4_40_42_45_49,353,114,167,181,196,202
6,1_12_13_15_21_28_29_30_31_35_36_37_39_41_42_43_44_48_8_9,353,118,175,189,201,211
7,10_13_17_18_20_26_28_32_33_34_38_4_43_44_46_5_6_7_8_9,353,116,170,188,199,210
8,10_14_2_22_23_24_26_27_3_33_34_35_36_4_43_44_47_49_6_7,353,112,169,185,198,202
9,1_10_13_16_27_28_3_30_34_35_36_38_39_4_41_42_43_45_46_49,353,115,171,182,200,207
10,1_10_13_14_15_16_19_2_23_25_32_35_36_37_39_4_40_41_44_45,353,111,163,187,198,210
11,1_12_13_14_17_22_24_30_33_34_36_37_38_39_41_43_45_48_5_8,353,116,173,185,202,212
12,12_17_21_22_24_25_28_29_30_31_35_36_37_38_40_42_44_47_7_9,353,113,166,185,197,209
13,1_10_11_12_14_16_18_19_20_22_3_38_40_41_44_47_48_5_6_8,353,122,172,189,200,209
14,10_19_22_23_25_30_31_33_34_36_4_40_41_44_45_47_49_5_7_8,353,105,164,187,194,208
15,14_15_19_20_22_23_24_26_27_3_32_35_36_40_43_44_46_49_50_8,353,112,165,183,196,203
16,11_12_15_16_21_26_3_30_32_35_36_37_42_43_45_49_5_50_8_9,353,116,165,181,193,205
17,1_10_12_17_18_20_22_23_24_29_34_38_39_40_44_45_48_50_6_8,353,110,167,190,202,213
18,12_13_14_16_17_2_21_23_3_33_34_36_39_4_40_41_42_43_50_8,353,108,167,184,196,204
19,11_12_18_19_2_22_24_25_28_29_31_33_34_36_37_42_43_46_7_8,353,114,164,181,192,204
20,13_15_17_18_21_24_26_27_3_35_37_39_4_40_46_47_48_6_7_8,353,116,168,191,205,211
21,10_12_15_20_22_23_24_26_28_31_33_34_4_46_48_5_50_6_7_9,353,113,166,185,197,203
22,1_10_18_21_27_30_31_35_37_38_39_40_44_46_48_5_50_6_7_8,353,121,177,193,206,212
23,11_17_2_20_21_22_23_24_26_3_30_31_34_35_39_44_45_47_6_9,353,118,169,187,198,206
24,11_16_21_23_24_28_30_33_35_37_4_43_44_45_46_48_5_50_7_9,353,119,166,187,198,206
25,10_14_19_21_23_25_31_32_34_36_37_38_4_42_43_46_47_49_50_9,353,111,165,186,197,206
26,11_12_13_14_15_16_18_24_25_28_31_32_33_36_37_4_40_5_6_9,353,109,163,183,198,210
27,1_10_15_17_19_20_22_24_25_26_27_30_32_33_34_44_45_47_5_8,353,112,163,180,188,202
28,12_13_14_17_18_23_26_29_33_36_37_38_39_4_42_43_47_5_50_6,353,115,171,187,200,209
29,10_11_13_14_19_23_24_26_27_29_36_38_40_44_47_48_49_50_6_7,353,109,166,180,196,208
30,1_10_16_19_2_23_25_32_36_37_38_4_42_45_46_48_5_7_8_9,353,108,164,185,199,212
31,12_13_14_16_17_18_20_21_23_24_27_30_31_33_35_37_39_4_40_8,353,114,163,181,199,211
32,1_12_13_17_21_22_24_32_33_35_39_4_40_42_43_46_47_6_7_9,353,105,163,186,201,207
33,10_16_19_2_21_24_25_26_27_33_35_37_38_4_46_47_49_6_7_8,353,116,167,188,202,208
34,1_15_18_19_2_20_21_23_31_32_33_37_41_43_44_45_46_47_7_9,353,106,170,188,196,208
35,1_11_12_13_17_19_20_22_23_25_29_31_33_37_42_46_47_48_50_7,353,113,160,184,195,206
36,1_11_13_15_17_18_2_20_21_22_24_29_30_39_4_42_45_49_5_50,353,110,172,188,198,207
37,1_11_14_17_22_25_27_28_3_31_32_34_37_39_4_40_44_46_49_6,353,113,166,185,196,206
38,11_13_2_20_21_22_24_3_32_33_34_36_40_41_42_46_49_6_7_9,353,110,169,185,196,207
39,1_11_13_16_19_2_29_31_34_36_37_39_40_42_47_48_50_6_7_9,353,113,174,187,199,210
40,10_11_13_15_19_2_21_22_23_26_27_35_37_4_42_45_47_49_5_6,353,110,166,187,197,204
41,1_12_13_14_16_17_22_25_26_27_28_39_4_42_43_44_47_48_6_7,353,117,162,183,194,205
42,10_12_13_2_20_21_25_26_29_3_31_32_34_35_36_40_44_46_48_8,353,114,176,193,201,210
43,1_10_12_17_19_25_26_27_30_33_35_36_39_44_45_46_49_5_6_7,353,107,160,175,191,200
44,13_14_17_19_21_23_26_27_28_29_30_31_36_4_41_42_45_49_5_9,353,108,166,177,191,203
45,1_14_16_19_2_24_25_26_27_28_29_36_37_4_41_47_48_50_6_9,353,123,169,183,194,204
46,1_10_13_14_2_21_22_26_27_29_33_34_35_37_38_40_41_43_45_48,353,120,174,190,204,214
47,10_12_13_20_21_25_26_28_3_31_35_37_42_43_44_47_49_6_8_9,353,119,169,184,195,206
48,11_16_19_2_21_22_24_27_28_30_33_36_37_38_40_41_46_49_6_8,353,114,164,181,201,209
49,14_15_16_17_19_21_23_25_27_28_3_34_35_38_39_4_43_47_5_7,353,117,168,185,198,205
